!submit
TYMCOM-X Job Processor  %1(212)  22-Oct-87 09:33:05

SUBMIT> list

  Job     Req     Time   UserName      Next Run         Status
  CHAMBR  19553   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19554   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19555   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19556   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19557   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19558   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19559   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19560   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19561   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19562   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19563   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19564   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19565   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19566   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19567   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19568   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19569   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19570   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19571   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19572   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19573   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19574   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19575   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19576   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19577   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19578   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19580   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19581   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19582   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19583   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19584   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19585   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19586   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19587   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19588   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19589   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19590   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19591   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19592   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19593   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19594   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19595   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19596   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19597   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19598   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19599   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19600   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
