0231604070311YANKEE       35525  4271 12SPOOL       11001   0   682548      1830408
0231604070311YANKEE       35525  4271 12SPOOL       111   341 10     0      0830408
0233704110810YANKEE       35525  4271 12SPOOL       11001   0   809748      1830411
0233704110810YANKEE       35525  4271 12SPOOL       111   877 10     0      0830411
0234504120932YANKEE       35525  4271 12SPOOL       11001   0  1437080      1830415
0234504120932YANKEE       35525  4271 12SPOOL       111   621 10     0      0830415
0239404212143YANKEE       35525  4271 12SPOOL       11001   0   817270      1830503
0239404212143YANKEE       35525  4271 12SPOOL       111   468 10     0      0830503
0246205041038SCAMP1       24326222306 112H006A/GDR.D11001   0  1394170      1830505
0246205041038SCAMP1       24326222306 112H006A/GDR.D111   340 10     0      0830505
0244605031814YANKEE       35525  4271 12SPOOL       11001   0   570068      1830509
0244605031814YANKEE       35525  4271 12SPOOL       111  1173 10     0      0830509
0249705092323YANKEE       35525  4271 12SPOOL       11001   0   520721      1830511
0249705092323YANKEE       35525  4271 12SPOOL       111   578 10     0      0830511
0255305251726YANKEE       35525  4271 12SPOOL       11001   0  1019658      1830526
0255305251726YANKEE       35525  4271 12SPOOL       111   931 10     0      0830526
0256005260918YANKEE       35525  4271 12ONHIRE NOS  11001   0   832586      1830531
0256005260918YANKEE       35525  4271 12ONHIRE NOS  111   615 10     0      0830531
0259206020911FNCA         21112171360 71RESTAURANT  11001   0    13345      1830602
0259206020911FNCA         21112171360 71RESTAURANT  111    19 10     0      0830602
0258706011527FNCA         21112171360 71RESTAURANT  11001   0    18330      1830602
0258706011527FNCA         21112171360 71RESTAURANT  111    19 10     0      0830602
0257906010946FNCA         21112171360 71RESTAURANT  11001   0    15870      1830602
0257906010946FNCA         21112171360 71RESTAURANT  111    19 10     0      0830602
0257606010859FNCA         21112171360 71RESTAURANT  11001   0    13925      1830602
0257606010859FNCA         21112171360 71RESTAURANT  111    15 10     0      0830602
0259406021020YANKEE       35525  4271 12SPOOL       11001   0   300048      1830602
0259406021020YANKEE       35525  4271 12SPOOL       111  1105 10     0      0830602
0260506071252SRA              1215254  0DIRECOTRY   01001   0    29355      1830607
0260506071252SRA              1215254  0DIRECOTRY   011     8 10     0      0830607
0260806082257YANKEE       35525  4271 12SPOOL       11001   0   985528      1830609
0260806082257YANKEE       35525  4271 12SPOOL       111   929 10     0      0830609
0260606082008YANKEE       35525  4271 12SPOOL       11001   0   964908      1830610
0260606082008YANKEE       35525  4271 12SPOOL       111  1255 10     0      0830610
0264106221357YANKEE       35525  4271 12SPOOL       11001   0  1308986      1830623
0264106221357YANKEE       35525  4271 12SPOOL       111   674 10     0      0830623
0265306241101YANKEE       35525  4271 12SPOOL       11001   0   444608      1830624
0265306241101YANKEE       35525  4271 12SPOOL       111  1073 10     0      0830624
0266906281109E32014       10264104032128            11001   0    76606      1830705
0266906281109E32014       10264104032128            111    56 10     0      0830705
0271007071106SCAMP1       24326222306 112H006A/GDR.D11001   0  1314270      1830707
0271007071106SCAMP1       24326222306 112H006A/GDR.D111   320 10     0      0830707
0272207081559E32014       10264104032128            11001   0    84068      9830711
0272207081559E32014       10264104032128            111    68 10     0      0830711
0272107081550E32014       10264104032128            11001   0   131400      5830711
0272107081550E32014       10264104032128            111    95 10     0      0830711
0287809061011DIST181A     16361156602181            01001   0   140552      4830907
0287809061011DIST181A     16361156602181            011    71 10     0      0830907
0287609061004DIST181A     16361156602181            01001   0    13116      1830907
0287609061004DIST181A     16361156602181            011     3 10     0      0830907
0290509191215SCAMP1       24326222306 112HOO6A/JDB.D11001   0  1334030      1830920
0290509191215SCAMP1       24326222306 112HOO6A/JDB.D111   320 10     0      0830920
0298010050413TRC800        1514137562 96FRUEHAUF FIN11001   0   120140      2831005
0298010050413TRC800        1514137562 96FRUEHAUF FIN111    39 10     0      0831005
0291109201030DIST11A      10422111073 112H006A/JDB.D010        1334030      1831009
0291109201030DIST11A      10422111073 112H006A/JDB.D011   320 10             831009
0203810260350TRC800        1514137562 96FRUEHAUF FIN11001   0   118720      2831026
0203810260350TRC800        1514137562 96FRUEHAUF FIN111    38 10     0      0831026
0210911220759SCAMP1       24326222306 1126006A/JDB.D11001   0  1365660      1831123
0210911220759SCAMP1       24326222306 1126006A/JDB.D111   328 10     0      0831123
0216212070208TRC800        1514137562 96FRUEHAUF FIN11001   0   612055      2831207
0216212070208TRC800        1514137562 96FRUEHAUF FIN111   178 10     0      0831207
0223301040228TRC800        1514137562 96FRUEHAUF FIN11001   0   118685      2840105
0223301040228TRC800        1514137562 96FRUEHAUF FIN111    38 10     0      0840105
0225001070946HISEK        32417330160231            11001   0  1231980      2840109
0225001070946HISEK        32417330160231            111   286 10     0      0840109
0225101070947HISEK        32417330160231            11002   0   403810      1840109
0225101070947HISEK        32417330160231            111    69 20     0      0840109
0225201070948HISEK        32417330160231            11003   0   460920      1840109
0225201070948HISEK        32417330160231            111    88 30     0      0840109
0225301070949HISEK        32417330160231            11004   0  1918210      2840109
0225301070949HISEK        32417330160231            111   435 40     0      0840109
0235501230941HISEK        32417330160231            11001   0   585415      1840123
0235501230941HISEK        32417330160231            111   144 10     0      0840123
0238201250139TRC800        1514137562 96FRUEHAUF FIN11001   0   120335      2840125
0238201250139TRC800        1514137562 96FRUEHAUF FIN111    39 10     0      0840125
0259902230944HISEK        32417330160231            11001   0   576290      1840227
0259902230944HISEK        32417330160231            111   142 10     0      0840227
0264003050138TRC800        1514137562 96FRUEHAUF FIN11001   0   121925      2840305
0264003050138TRC800        1514137562 96FRUEHAUF FIN111    39 10     0      0840305
0265603071131HISEK        32417330160231            11001   0   560195      1840309
0265603071131HISEK        32417330160231            111   124 10     0      0840309
0265703071132HISEK        32417330160231            11002   0   375940      1840309
0265703071132HISEK        32417330160231            111    65 20     0      0840309
0265803071132HISEK        32417330160231            11003   0   413990      1840309
0265803071132HISEK        32417330160231            111    78 30     0      0840309
0265903071133HISEK        32417330160231            11004   0  1643770      2840311
0265903071133HISEK        32417330160231            111   397 40     0      0840311
0268603080652SCAMP1       24326222306 112H006A/JDB.D11001   0  1167840      1840316
0268603080652SCAMP1       24326222306 112H006A/JDB.D111   284 10     0      0840316
0276203231432HISEK        32417330160231            11001   0   600520      1840327
0276203231432HISEK        32417330160231            111   147 10     0      0840327
0279904040144TRC800        1514137562 96FRUEHQUF FIN11001   0   121585      2840404
0279904040144TRC800        1514137562 96FRUEHQUF FIN111    39 10     0      0840404
0281504061521HISEK        32417330160231            11002   0   432755      1840410
0281504061521HISEK        32417330160231            111    73 20     0      0840410
0281404061520HISEK        32417330160231            11001   0  1220840      2840410
0281404061520HISEK        32417330160231            111   280 10     0      0840410
0281604061522HISEK        32417330160231            11003   0   413610      1840410
0281604061522HISEK        32417330160231            111    79 30     0      0840410
0281704061522HISEK        32417330160231            11004   0  1948085      2840410
0281704061522HISEK        32417330160231            111   448 40     0      0840410
0299704260103TRC800        1514137562 96FRUEHAUF FIN11001   0   121555      2840426
0299704260103TRC800        1514137562 96FRUEHAUF FIN111    39 10     0      0840426
0221705241343SALTYRON     11447143725  3            01001   0    46945      1840524
0221705241343SALTYRON     11447143725  3            011    51 10     0      0840524
0222605280132TRC800        1514137562 96FRUEHAUF FIN11001   0   122405      2840529
0222605280132TRC800        1514137562 96FRUEHAUF FIN111    39 10     0      0840529
0229606081023HISEK        32417330160231            11004   0  1959105      2840608
0229606081023HISEK        32417330160231            111   442 40     0      0840608
0229306081019HISEK        32417330160231            11001   0  1203680      2840609
